timestamp,kappa,batch_start,batch_end,n_done,n_total,percent_done,elapsed_seconds
2026-05-17 19:19:04,2.0,672,704,704,1000,70.4,1057.8761258125305
2026-05-17 19:19:56,2.0,704,736,736,1000,73.6,1109.5454790592194
2026-05-17 19:20:50,2.0,736,768,768,1000,76.8,1164.4603161811829
2026-05-17 19:21:48,2.0,768,800,800,1000,80.0,1221.644525051117
2026-05-17 19:22:48,2.0,800,832,832,1000,83.2,1281.5585536956787
2026-05-17 19:23:41,2.0,832,864,864,1000,86.4,1335.1538264751434
2026-05-17 19:24:37,2.0,864,896,896,1000,89.6,1391.3863651752472
2026-05-17 19:25:31,2.0,896,928,928,1000,92.8,1445.406354188919
2026-05-17 19:26:28,2.0,928,960,960,1000,96.0,1501.5483751296997
2026-05-17 19:27:25,2.0,960,992,992,1000,99.2,1559.1339852809906
2026-05-17 19:28:06,2.0,992,1000,1000,1000,100.0,1600.187267780304
2026-05-17 19:29:05,4.0,0,32,32,1000,3.2,59.02805304527283
2026-05-17 19:30:06,4.0,32,64,64,1000,6.4,119.90379428863525
2026-05-17 19:31:09,4.0,64,96,96,1000,9.6,183.03315496444702
2026-05-17 19:32:10,4.0,96,128,128,1000,12.8,243.48016095161438
2026-05-17 19:32:55,4.0,128,160,160,1000,16.0,288.8076219558716
2026-05-17 19:33:42,4.0,160,192,192,1000,19.2,335.95890402793884
2026-05-17 19:34:31,4.0,192,224,224,1000,22.4,385.04937195777893
2026-05-17 19:35:35,4.0,224,256,256,1000,25.6,448.94786643981934
2026-05-17 19:36:35,4.0,256,288,288,1000,28.8,508.74282908439636
2026-05-17 19:37:28,4.0,288,320,320,1000,32.0,561.2155690193176
2026-05-17 19:38:10,4.0,320,352,352,1000,35.2,603.7332210540771
2026-05-17 19:38:51,4.0,352,384,384,1000,38.4,644.3952510356903
2026-05-17 19:39:46,4.0,384,416,416,1000,41.6,699.0777139663696
2026-05-17 19:40:39,4.0,416,448,448,1000,44.8,752.698365688324
2026-05-17 19:41:21,4.0,448,480,480,1000,48.0,794.115647315979
2026-05-17 19:42:17,4.0,480,512,512,1000,51.2,850.9216392040253
2026-05-17 19:43:26,4.0,512,544,544,1000,54.4,919.8005120754242
2026-05-17 19:44:07,4.0,544,576,576,1000,57.6,960.6835379600525
2026-05-17 19:45:03,4.0,576,608,608,1000,60.8,1016.4070906639099
2026-05-17 19:45:59,4.0,608,640,640,1000,64.0,1072.151174545288
